fifa_id,name,squad_id,team,position,price,status,total_points,avg_points,matches_played,percent_selected,round_1_points,round_2_points,round_3_points,round_4_points,next_fixture,betano_matched_name,betano_match_score,anytime_scorer_odd,anytime_scorer_prob,first_scorer_odd,first_scorer_prob,last_scorer_odd,match_home,match_away,is_home,opponent,match_home_win_odd,match_draw_odd,match_away_win_odd,match_btts_prob,match_over_25_odd,match_over_25_prob,match_over_35_odd,team_over_05_odd,team_over_15_odd,team_score_prob,team_score_2_prob,team_cs_prob,team_qualify_odd,team_win2_odd,opp_over_05_odd,opp_score_prob,opp_cs_prob,stat_GS,stat_AS,stat_CS,stat_GC,stat_MP,stat_YC,stat_RC,stat_ST,stat_SB,stat_CC,stat_PS,stat_T,stat_S,stat_SXI,stat_OG,stat_PC,stat_PW,stat_FK,round_1_SXI,round_1_MP,round_1_AS,round_1_YC,round_1_RC,round_1_OG,round_1_PW,round_1_PC,round_1_CS,round_1_GS,round_1_GC,round_1_PS,round_1_T,round_1_CC,round_1_ST,round_1_FK,round_1_S,round_1_SB,round_2_SXI,round_2_MP,round_2_AS,round_2_YC,round_2_RC,round_2_OG,round_2_PW,round_2_PC,round_2_CS,round_2_GS,round_2_GC,round_2_PS,round_2_T,round_2_CC,round_2_ST,round_2_FK,round_2_S,round_2_SB,round_3_SXI,round_3_MP,round_3_AS,round_3_YC,round_3_RC,round_3_OG,round_3_PW,round_3_PC,round_3_CS,round_3_GS,round_3_GC,round_3_PS,round_3_T,round_3_CC,round_3_ST,round_3_FK,round_3_S,round_3_SB,round_4_SXI,round_4_MP,round_4_AS,round_4_YC,round_4_RC,round_4_OG,round_4_PW,round_4_PC,round_4_CS,round_4_GS,round_4_GC,round_4_PS,round_4_T,round_4_CC,round_4_ST,round_4_FK,round_4_S,round_4_SB
931,Rui Silva,35,Portugal,GK,4.7,playing,0,0.0,0,0.5,,,,,,,,150.0,0.0067,,,,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,José Sá,35,Portugal,GK,4.7,playing,0,0.0,0,0.3,,,,,,,,150.0,0.0067,,,,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Ricardo Velho,35,Portugal,GK,4.0,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Rúben Neves,35,Portugal,MID,5.9,playing,2,1.0,2,0.2,,,1.0,1.0,,Rúben Neves,100.0,7.7,0.1299,21.0,0.0476,21.0,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,Matheus Nunes,35,Portugal,MID,6.1,playing,1,1.0,1,0.1,,,1.0,,,Matheus Nunes,100.0,10.75,0.093,30.0,0.0333,30.0,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
936,Vitinha,35,Portugal,MID,6.4,playing,10,2.5,4,7.5,2.0,3.0,3.0,2.0,,Vitinha,100.0,7.7,0.1299,21.0,0.0476,21.0,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,0.0,2.0,2.0,298.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
937,João Neves,35,Portugal,MID,6.5,playing,17,4.3,4,4.5,10.0,3.0,1.0,3.0,,João Neves,100.0,7.7,0.1299,21.0,0.0476,21.0,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,1.0,0.0,2.0,2.0,301.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
939,Bruno Fernandes,35,Portugal,MID,8.5,playing,15,3.8,4,27.9,3.0,7.0,3.0,2.0,,Bruno Fernandes,100.0,4.55,0.2198,11.75,0.0851,11.75,Portugal,Spain,True,Spain,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.37,2.67,0.6592,0.3745,0.2369,2.55,,1.18,0.7631,0.3408,0.0,1.0,2.0,2.0,333.0,0.0,0.0,3.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1081,Yéremy Pino,41,Spain,MID,5.9,playing,2,1.0,2,0.0,,1.0,1.0,,,Yeremy Pino,100.0,4.2,0.2381,10.0,0.1,10.0,Portugal,Spain,False,Portugal,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.18,1.8,0.7631,0.5556,0.3408,1.47,,1.37,0.6592,0.2369,0.0,0.0,2.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1082,Álex Baena,41,Spain,MID,6.0,playing,21,7.0,3,1.2,,3.0,10.0,8.0,,Álex Baena,100.0,3.85,0.2597,9.0,0.1111,9.0,Portugal,Spain,False,Portugal,3.95,3.6,1.98,0.5556,1.7,0.5211,2.57,1.18,1.8,0.7631,0.5556,0.3408,1.47,,1.37,0.6592,0.2369,1.0,1.0,3.0,0.0,198.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
